"Route_Name,Route_Link,Bus_Name,Bus_Type,Departure_Time,Duration,Starting_Time,Star_Rating,Price,Seat_Availability"
"Hyderabad to Tirupati,https://www.redbus.in/bus-tickets/hyderabad-to-tirupathi,Vandana Travels,A/C Seater / Sleeper (2+1),2024-07-17 22:30:00,10h 30m,09:00,3.7,650.0,21"
"Hyderabad to Tirupati,https://www.redbus.in/bus-tickets/hyderabad-to-tirupathi,Go Tour Travels and Holidays,A/C Sleeper (2+1),2024-07-17 22:45:00,10h 45m,09:30,4.3,1099.0,8"
"Hyderabad to Tirupati,https://www.redbus.in/bus-tickets/hyderabad-to-tirupathi,Jagan Travels,A/C Sleeper (2+1),2024-07-17 22:05:00,11h 40m,09:45,4.4,910.0,7"
"Hyderabad to Tirupati,https://www.redbus.in/bus-tickets/hyderabad-to-tirupathi,ANAGHA TRAVELS,Non A/C Seater / Sleeper (2+1),2024-07-17 22:00:00,10h 55m,08:55,3.6,700.0,28"
"Hyderabad to Tirupati,https://www.redbus.in/bus-tickets/hyderabad-to-tirupathi,Vandana Travels,A/C Seater / Sleeper (2+1),2024-07-17 22:20:00,10h 40m,09:00,3.9,799.0,19"
"Hyderabad to Tirupati,https://www.redbus.in/bus-tickets/hyderabad-to-tirupathi,Sri Krishna Travels,A/C Sleeper (2+1),2024-07-17 21:30:00,11h 00m,08:30,3.5,800.0,21"
"Hyderabad to Tirupati,https://www.redbus.in/bus-tickets/hyderabad-to-tirupathi,V Kaveri Travels,VE A/C Sleeper (2+1),2024-07-17 19:00:00,12h 30m,07:30,3.3,1000.0,1"
"Hyderabad to Tirupati,https://www.redbus.in/bus-tickets/hyderabad-to-tirupathi,Orange Tours And Travels,A/C Sleeper (2+1),2024-07-17 19:45:00,10h 00m,05:45,3.1,970.0,5"
"Hyderabad to Tirupati,https://www.redbus.in/bus-tickets/hyderabad-to-tirupathi,Yolo Bus,Bharat Benz A/C Seater /Sleeper (2+1),2024-07-17 17:02:00,11h 47m,04:49,3.8,510.0,10"
"Hyderabad to Tirupati,https://www.redbus.in/bus-tickets/hyderabad-to-tirupathi,Orange Tours And Travels,A/C Seater / Sleeper (2+1),2024-07-17 21:00:00,10h 00m,07:00,3.0,800.0,24"
"Hyderabad to Tirupati,https://www.redbus.in/bus-tickets/hyderabad-to-tirupathi,Yolo Bus,Bharat Benz A/C Seater /Sleeper (2+1),2024-07-17 18:30:00,11h 39m,06:09,3.5,530.0,11"
"Hyderabad to Tirupati,https://www.redbus.in/bus-tickets/hyderabad-to-tirupathi,Orange Tours And Travels,NON A/C Seater/ Sleeper (2+1),2024-07-17 19:45:00,10h 45m,06:30,2.6,700.0,9"
"Hyderabad to Tirupati,https://www.redbus.in/bus-tickets/hyderabad-to-tirupathi,Meghana Travels,A/C Sleeper (2+1),2024-07-17 21:50:00,11h 10m,09:00,2.4,808.0,19"
"Hyderabad to Tirupati,https://www.redbus.in/bus-tickets/hyderabad-to-tirupathi,Morning Star Travels,A/C Sleeper (2+1),2024-07-17 22:00:00,10h 15m,08:15,2.3,1190.0,14"
"Hyderabad to Tirupati,https://www.redbus.in/bus-tickets/hyderabad-to-tirupathi,KKaveri Travels,Non A/C Seater / Sleeper (2+1),2024-07-17 22:00:00,12h 00m,10:00,2.3,780.0,7"
"Hyderabad to Tirupati,https://www.redbus.in/bus-tickets/hyderabad-to-tirupathi,SRI RATAN TATA EXPRESS,Volvo Multi Axle A/C Sleeper I-Shift B11R (2+1),2024-07-17 23:30:00,09h 45m,09:15,3.6,1099.0,21"
"Hyderabad to Tirupati,https://www.redbus.in/bus-tickets/hyderabad-to-tirupathi,Morning Star Travels,A/C Sleeper (2+1),2024-07-17 20:00:00,11h 00m,07:00,2.3,890.0,14"
"Hyderabad to Tirupati,https://www.redbus.in/bus-tickets/hyderabad-to-tirupathi,Morning Star Travels,A/C Sleeper (2+1),2024-07-17 18:45:00,10h 45m,05:30,1.8,1190.0,8"
"Hyderabad to Tirupati,https://www.redbus.in/bus-tickets/hyderabad-to-tirupathi,Vandana Travels,NON A/C Sleeper (2+1),2024-07-17 22:10:00,10h 50m,09:00,2.6,800.0,20"
"Hyderabad to Tirupati,https://www.redbus.in/bus-tickets/hyderabad-to-tirupathi,Vandana Travels,Non A/C Seater / Sleeper (2+1),2024-07-17 22:15:00,10h 45m,09:00,3.1,700.0,19"
"Hyderabad to Tirupati,https://www.redbus.in/bus-tickets/hyderabad-to-tirupathi,SREE LEKYAA TRAVELS,A/C Sleeper (2+1),2024-07-17 21:40:00,11h 35m,09:15,3.7,800.0,19"
"Hyderabad to Tirupati,https://www.redbus.in/bus-tickets/hyderabad-to-tirupathi,Tranzindia Travels,Scania AC Multi Axle Sleeper (2+1),2024-07-17 22:30:00,10h 45m,09:15,2.4,849.0,30"
"Hyderabad to Tirupati,https://www.redbus.in/bus-tickets/hyderabad-to-tirupathi,True Bus,Volvo Multi Axle B9R A/C Sleeper (2+1),2024-07-17 22:30:00,10h 30m,09:00,3.2,1199.0,29"
"Hyderabad to Tirupati,https://www.redbus.in/bus-tickets/hyderabad-to-tirupathi,Tranzindia Travels,Bharat Benz A/C Sleeper (2+1),2024-07-17 21:45:00,11h 05m,08:50,2.2,800.0,24"
"Hyderabad to Tirupati,https://www.redbus.in/bus-tickets/hyderabad-to-tirupathi,PMR Express,A/C Sleeper (2+1),2024-07-17 19:00:00,12h 30m,07:30,3.4,902.0,24"
"Hyderabad to Tirupati,https://www.redbus.in/bus-tickets/hyderabad-to-tirupathi,VEGA BUS,A/C Seater / Sleeper (2+1),2024-07-17 22:20:00,11h 25m,09:45,3.1,3325.0,1"
"Hyderabad to Tirupati,https://www.redbus.in/bus-tickets/hyderabad-to-tirupathi,DHANUNJAYA TRAVELS,A/C Sleeper (2+1),2024-07-17 18:00:00,12h 35m,06:35,1.1,749.0,19"
"Hyderabad to Tirupati,https://www.redbus.in/bus-tickets/hyderabad-to-tirupathi,Mozo travels,A/C Sleeper (2+1),2024-07-17 18:20:00,12h 10m,06:30,3.9,899.0,19"
"Hyderabad to Tirupati,https://www.redbus.in/bus-tickets/hyderabad-to-tirupathi,SREE LEKYAA TRAVELS,NON A/C Sleeper (2+1),2024-07-17 21:40:00,11h 05m,08:45,3.7,850.0,18"
"Bangalore to Kozhikode,https://www.redbus.in/bus-tickets/bangalore-to-kozhikode,KSRTC (Kerala) - 553,Super Deluxe Non AC Seater Air Bus (2+2),2024-07-17 16:45:00,08h 40m,01:25,1.9,640.0,2"
"Bangalore to Kozhikode,https://www.redbus.in/bus-tickets/bangalore-to-kozhikode,KSRTC (Kerala) - 1921,SWIFT-GARUDA A/C SEATER BUS,2024-07-17 19:00:00,09h 20m,04:20,3.6,688.0,28"
"Bangalore to Kozhikode,https://www.redbus.in/bus-tickets/bangalore-to-kozhikode,KSRTC (Kerala) - 789,Super Fast Non AC Seater (2+3),2024-07-17 20:00:00,08h 25m,04:25,3.6,473.0,15"
"Bangalore to Kozhikode,https://www.redbus.in/bus-tickets/bangalore-to-kozhikode,KSRTC (Kerala) - 1585,Super Deluxe Non AC Seater Air Bus (2+2),2024-07-17 20:31:00,09h 05m,05:36,4.2,640.0,27"
